data_ref_safra,seller_id,uf,tot_orders_12m,tot_items_12m,tot_items_dist_12m,receita_12m,recencia,nao_revendeu_next_6m
2018-01-01,20cb7c2fde3e5bf10f0bbe7394e1c6a9,PR,23,38,2,642.1999999999996,3,0
2018-01-01,20d53aad4fe5ee93a64f8839609d3586,MG,1,1,1,14.5,35,1
2018-01-01,20d83f3ef0e6925fd74bfd59170babf7,SP,24,32,30,1675.8000000000009,9,0
2018-01-01,20f0aeea30bc3b8c4420be8ced4226c0,SP,1,1,1,14.9,329,1
2018-01-01,2138ccb85b11a4ec1e37afbd1c8eda1f,SP,293,318,117,8853.319999999945,2,0
2018-01-01,213b25e6f54661939f11710a6fddb871,SP,6,11,5,422.25,15,0
2018-01-01,2156f2671501a81034d7d07f217609d0,SP,9,9,6,717.7,25,0
2018-01-01,217f005bb37ff3aeef5b2ae1788e75ba,SP,2,2,1,49.98,235,1
2018-01-01,218d46b86c1881d022bce9c68a7d4b15,SP,188,208,92,28616.020000000004,5,0
2018-01-01,218f991754f360af9c2daa5e0b8e990c,SP,2,2,1,439.8,11,0
2018-01-01,2199e7fe213c16213bf5d6a7eadc9a5d,SP,15,19,11,2512.79,5,0
2018-01-01,21e83881401b92b49fb09a16d3852291,MG,9,10,8,2539.1800000000003,12,0
2018-01-01,2235cf78d3e2073a88146a9cb60f0dd0,SP,1,1,1,178.99,30,1
2018-01-01,229c3efbfb0ea2058de4ccdfbc3d784a,MG,91,111,20,11269.0,2,0
2018-01-01,22a23e5ac7061fc538cc2a019afaaf16,MG,1,1,1,95.0,227,1
2018-01-01,232a6014e7b10cba61c6c2b2ea6bb4b0,SP,15,17,12,1892.4000000000005,26,0
2018-01-01,23613d49c3ac2bd302259e55c06c050c,SP,35,38,19,2411.2000000000016,14,0
2018-01-01,236585a4ddb5fea9fa40233e2249ed91,RS,7,7,2,389.65999999999997,18,0
2018-01-01,238fac594e170b59c6d228f5a4f4f1d9,SP,8,8,4,776.0,16,0
2018-01-01,23ca5f678e0b3ea6c630b30fa8bf51ea,SP,6,7,4,183.0,241,1
2018-01-01,23d7c96d4a1160db1c726b248601b25a,SP,20,22,14,4247.240000000002,8,0
2018-01-01,23ff42c4bf1f8f16cddb19d8b972974a,MG,2,3,2,174.70000000000002,44,1
2018-01-01,244b04680fdbded0acf5aebd9c92b44a,SP,2,2,2,1701.8000000000002,17,1
2018-01-01,244c2f1bff6afe1f2eaf9bfe9b2aed38,SP,20,24,11,2283.0,4,0
2018-01-01,2493dc3f20131696a0ecdb9948051a8d,DF,4,4,3,504.38,327,1
2018-01-01,24c1de8d9551c0b4fbc53317d53efda8,PB,1,1,1,355.0,331,1
2018-01-01,2528513dd95219a6013d4d05176e391a,SP,66,68,45,18453.699999999997,3,0
2018-01-01,2528744c5ef5d955adc318720a94d2e7,SP,2,2,2,4598.0,9,0
2018-01-01,252e76235acb79183cfca6e34f13337d,SP,2,3,3,204.0,172,0
2018-01-01,253c025bab43881055aeecde5e2d8b77,PR,1,1,1,49.9,38,1
2018-01-01,259f7b5e6e482c230e5bfaa670b6bb8f,SP,60,77,20,3580.0400000000022,4,0
2018-01-01,25c5c91f63607446a97b143d2d535d31,MG,124,218,17,44476.030000000064,3,0
2018-01-01,25cf099de44674fde97473224f9d59ab,SP,20,20,15,736.9799999999999,8,0
2018-01-01,25debeafbce801fdd479539350185eee,SP,4,5,2,172.86,30,0
2018-01-01,25e47381a6c510ddeb36084e33b89f0c,SP,16,17,11,1289.6000000000001,185,1
2018-01-01,25e6ffe976bd75618accfe16cefcbd0d,SP,80,89,43,9611.07,0,0
2018-01-01,262237171f48e85819065498cac80d7b,SC,1,5,1,299.5,149,0
2018-01-01,26785a546900236d66f2e4197c211158,SP,4,4,3,339.70000000000005,8,0
2018-01-01,26bad72add1f86e08a776ce4ffdaf1ca,SP,2,2,2,81.0,54,0
2018-01-01,26d8a1c7c75d513045798992ead43aa2,PR,13,13,8,1887.8700000000001,14,0
2018-01-01,270297ead4c65a6cd2593960d2af6b21,SP,5,6,6,2505.8599999999997,37,0
2018-01-01,2709af9587499e95e803a6498a5a56e9,SP,20,40,14,1006.5800000000008,34,0
2018-01-01,270d3ef21830ad0ecf3a6c53d08a533a,SP,1,2,1,76.0,25,0
2018-01-01,272f092de69afedd4d2969440b37f18f,SP,25,39,24,1846.3300000000008,77,1
2018-01-01,2745f798279e0ed033addcc1474776d7,SP,17,17,9,2181.3199999999997,3,0
2018-01-01,27a56ff04b34c2ba34ce6ba4d3b9d616,SP,8,8,7,349.28999999999996,79,1
2018-01-01,282c7480173bb9c01dd41cc739fec010,SP,5,8,4,4274.2,132,1
2018-01-01,282f23a9769b2690c5dda22e316f9941,MG,35,40,19,2382.0,0,0
2018-01-01,28d162ab86bb49d719c32f0ee6186eaa,SP,1,1,1,109.99,103,1
2018-01-01,28ea411b354f14b1a494be4e79f0ce02,SP,5,5,5,685.0,11,0
